,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
12632,Golden Rule,10942,Valid,L5,797.6,Found,1999.0,35.87333,-114.2,"(35.87333, -114.2)"
12633,Goldstone Dry Lake,10943,Valid,H6,1.1,Found,1999.0,35.37333,-116.90833,"(35.37333, -116.90833)"
12634,Gomez,10944,Valid,L6,47000.0,Found,1974.0,33.18139,-102.40139,"(33.18139, -102.40139)"
12635,Goodland,10945,Valid,L4,3628.0,Found,1923.0,39.35,-101.66667,"(39.35, -101.66667)"
12636,Goose Creek,10946,Valid,H5,2132.3,Found,1999.0,37.435,-98.31833,"(37.435, -98.31833)"
12637,Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500.0,Found,1938.0,41.98,-120.54167,"(41.98, -120.54167)"
12642,Grady (1933),10951,Valid,L3-6,4230.0,Found,1933.0,34.8,-103.31667,"(34.8, -103.31667)"
12643,Grady (1937),10952,Valid,H3.7,9300.0,Found,1937.0,34.8,-103.31667,"(34.8, -103.31667)"
12644,Grady (c),10953,Valid,H4,5700.0,Found,1970.0,34.8,-103.31667,"(34.8, -103.31667)"
12645,Granada Creek,10954,Valid,H,479.0,Found,1975.0,37.96667,-102.33333,"(37.96667, -102.33333)"
12646,Grand Rapids,10955,Valid,"Iron, ungrouped",51700.0,Found,1883.0,42.96667,-85.76667,"(42.96667, -85.76667)"
12647,Grandview,47730,Valid,L5,6400.0,Found,2008.0,32.788333,-101.938333,"(32.788333, -101.938333)"
12648,Grant,10957,Valid,"Iron, IIIAB",525000.0,Found,1929.0,35.16667,-107.88333,"(35.16667, -107.88333)"
12649,Grant County,10958,Valid,L6,2300.0,Found,1936.0,37.46667,-101.43333,"(37.46667, -101.43333)"
12650,Grassland,10959,Valid,L4,4400.0,Found,1964.0,33.11667,-101.58333,"(33.11667, -101.58333)"
12991,Grayton,11177,Valid,H5,11300.0,Found,1983.0,30.31167,-86.16667,"(30.31167, -86.16667)"
